-0.829404,-0.469369,0.848185,-0.813140,0.071413,0.239057,0.988504,-0.926566,0.680124,-0.743241,-0.877436,0.609040,-0.660276,0.417868,-0.965736,0.369382,0.614634,0.743190,-0.683678,0.062886,-0.338735,-0.393054,-0.903791,0.901428,-0.155840,0.764231,-0.510105,-0.769162,0.398197,-0.155782,0.821260,-0.263193,0.785174,-0.391459,-0.819397,0.804421,-0.794808,0.104264,-0.938974,-0.848571,0.103605,0.774770,0.218288,0.503676,-0.281419,0.200783,0.014233,0.786941,-0.634509,-0.561491,0.515596,-0.326882,0.772937,0.454511,-0.162816,0.686038,-0.528774,-0.754339,-0.640711,-0.936348,0.251537,0.317225,0.249406,-0.344025,-0.097828,-0.718130,-0.527706,0.736045,-0.304200,0.195206,-0.355488,-0.315811,-0.114159,0.682895,0.550384,-0.391113,0.610211,0.150465,-0.609206,0.685390,-0.119980,0.978500,0.338839,0.467907,0.879952,0.041644,-0.336354,0.935363,0.087449,-0.960721,-0.049988,0.680709,0.760898,0.216820,0.577783,-0.886015,-0.413548,-0.405735,0.810799,0.315157
-0.746061,-0.420669,0.800215,-0.748065,0.027289,0.216983,0.922217,-0.852454,0.629418,-0.697527,-0.778950,0.598157,-0.617543,0.406764,-0.897033,0.314462,0.568830,0.701723,-0.627950,0.052820,-0.310780,-0.348590,-0.833796,0.812637,-0.125998,0.730096,-0.465310,-0.692889,0.371360,-0.168749,0.747003,-0.229021,0.702618,-0.361059,-0.768849,0.730647,-0.720843,0.148287,-0.868289,-0.766196,0.077261,0.733522,0.211170,0.467377,-0.277677,0.191927,0.023317,0.721503,-0.609344,-0.523878,0.471495,-0.304340,0.728411,0.443760,-0.142135,0.624698,-0.468177,-0.673783,-0.583234,-0.871206,0.231618,0.315982,0.240938,-0.308690,-0.088728,-0.657225,-0.456929,0.692943,-0.290848,0.192357,-0.317129,-0.269163,-0.101842,0.648110,0.496934,-0.360730,0.552376,0.152992,-0.564010,0.648427,-0.118865,0.903408,0.299489,0.437877,0.832076,0.041443,-0.297004,0.866657,0.084599,-0.871892,-0.049807,0.621202,0.716091,0.202912,0.532734,-0.770951,-0.378507,-0.351857,0.735992,0.288627
-0.668350,-0.377239,0.754142,-0.680631,-0.009615,0.197869,0.859679,-0.783901,0.581609,-0.654091,-0.690182,0.584964,-0.578766,0.393830,-0.834515,0.264441,0.530497,0.660839,-0.578044,0.040123,-0.289853,-0.312022,-0.766124,0.735671,-0.106398,0.693705,-0.427874,-0.619820,0.349404,-0.183236,0.677277,-0.197377,0.631803,-0.329905,-0.717637,0.663783,-0.648379,0.185839,-0.803611,-0.691428,0.053959,0.697731,0.204235,0.431040,-0.276672,0.184561,0.026449,0.666970,-0.585640,-0.488745,0.430854,-0.283486,0.685991,0.432686,-0.119765,0.562887,-0.408776,-0.600548,-0.529478,-0.811531,0.210933,0.314238,0.229416,-0.274195,-0.082810,-0.600922,-0.392362,0.649117,-0.278159,0.188700,-0.282070,-0.226386,-0.092560,0.616355,0.448954,-0.333419,0.500386,0.154875,-0.525303,0.614060,-0.115028,0.835147,0.264324,0.409279,0.786968,0.042316,-0.262852,0.801064,0.078259,-0.791274,-0.048000,0.566233,0.674329,0.186197,0.495107,-0.669899,-0.341910,-0.300006,0.673445,0.269821
-0.595840,-0.336968,0.712619,-0.624675,-0.041717,0.181849,0.800277,-0.720240,0.535469,-0.612857,-0.610144,0.573513,-0.540551,0.384186,-0.776075,0.220321,0.495498,0.620856,-0.532854,0.032306,-0.265702,-0.277720,-0.703612,0.664397,-0.083103,0.661257,-0.392271,-0.556610,0.327774,-0.195726,0.608391,-0.169549,0.566952,-0.303137,-0.671724,0.603212,-0.586208,0.214334,-0.743478,-0.624162,0.033721,0.666636,0.197192,0.400471,-0.273004,0.180161,0.030154,0.614045,-0.557210,-0.456929,0.396636,-0.263045,0.645254,0.423744,-0.099012,0.510470,-0.357599,-0.534030,-0.482328,-0.756865,0.195608,0.312680,0.224694,-0.241243,-0.077279,-0.548688,-0.333478,0.608957,-0.265176,0.185301,-0.245189,-0.187310,-0.082212,0.585539,0.409882,-0.306931,0.451245,0.156428,-0.489901,0.581603,-0.113035,0.771026,0.233163,0.387472,0.744372,0.042795,-0.232605,0.742561,0.076707,-0.716819,-0.051255,0.514444,0.638440,0.177181,0.460758,-0.577860,-0.312461,-0.259462,0.617301,0.252749
-0.531355,-0.300774,0.673836,-0.572401,-0.068935,0.168113,0.744866,-0.660496,0.492332,-0.578046,-0.538026,0.561409,-0.505339,0.372297,-0.722735,0.181595,0.460649,0.589638,-0.487157,0.023288,-0.243316,-0.246810,-0.644573,0.599641,-0.067843,0.629324,-0.359270,-0.498459,0.308453,-0.202946,0.551217,-0.142990,0.506559,-0.277890,-0.629434,0.548364,-0.530582,0.239037,-0.687624,-0.561486,0.016953,0.639363,0.191198,0.372046,-0.268338,0.175320,0.031387,0.565548,-0.532806,-0.430416,0.365358,-0.244114,0.608686,0.414883,-0.083515,0.462289,-0.308383,-0.473773,-0.438869,-0.706774,0.180833,0.311169,0.220382,-0.212699,-0.071090,-0.501556,-0.279814,0.575243,-0.251251,0.184714,-0.214591,-0.152678,-0.070212,0.558928,0.374175,-0.279464,0.408386,0.157475,-0.457293,0.550223,-0.109086,0.714439,0.205163,0.363521,0.701956,0.044639,-0.205912,0.691724,0.074156,-0.649831,-0.054523,0.466491,0.604674,0.167499,0.428409,-0.496994,-0.281629,-0.220312,0.567694,0.234184
-0.472276,-0.265650,0.636922,-0.523184,-0.088713,0.156965,0.693476,-0.605237,0.452868,-0.543917,-0.473120,0.547955,-0.467297,0.362655,-0.675521,0.145820,0.428995,0.560927,-0.446174,0.014111,-0.224431,-0.215344,-0.589988,0.540761,-0.050564,0.598193,-0.329443,-0.441895,0.292988,-0.208339,0.493446,-0.118858,0.455055,-0.251059,-0.589693,0.497303,-0.477001,0.260389,-0.634085,-0.505277,0.004360,0.615424,0.184321,0.345314,-0.261377,0.169089,0.032682,0.521846,-0.508816,-0.404541,0.337205,-0.225552,0.574696,0.405397,-0.067623,0.418241,-0.265877,-0.421964,-0.397261,-0.656360,0.167147,0.309304,0.213642,-0.189333,-0.063379,-0.457529,-0.231294,0.541086,-0.236192,0.181486,-0.185856,-0.120781,-0.061725,0.533282,0.339064,-0.254680,0.365192,0.156698,-0.424283,0.517231,-0.103625,0.661297,0.181806,0.340869,0.661774,0.044369,-0.182449,0.641611,0.071912,-0.587326,-0.053022,0.423907,0.572803,0.156300,0.398753,-0.423531,-0.253005,-0.182285,0.517824,0.218621
-0.418778,-0.235813,0.602715,-0.476068,-0.104584,0.148426,0.647691,-0.550759,0.416628,-0.511614,-0.414764,0.535373,-0.431649,0.350897,-0.633963,0.114862,0.402671,0.530710,-0.406838,0.009039,-0.205167,-0.190688,-0.540759,0.489042,-0.034403,0.567512,-0.301634,-0.393267,0.279532,-0.211070,0.444785,-0.096838,0.405848,-0.227763,-0.551471,0.452366,-0.426934,0.277380,-0.581740,-0.452232,-0.005648,0.594391,0.176353,0.319564,-0.255472,0.164498,0.035394,0.482189,-0.486771,-0.380963,0.312465,-0.209061,0.542010,0.392865,-0.056225,0.378895,-0.225611,-0.376476,-0.361331,-0.614482,0.154850,0.304201,0.208587,-0.165021,-0.056794,-0.418456,-0.184409,0.509034,-0.222610,0.180733,-0.154711,-0.091671,-0.048205,0.511690,0.310425,-0.230682,0.330263,0.154478,-0.393842,0.489207,-0.099188,0.612643,0.159048,0.322910,0.624026,0.045256,-0.161598,0.596445,0.069951,-0.530513,-0.051042,0.383524,0.542420,0.145739,0.372570,-0.359017,-0.229481,-0.150359,0.477858,0.205684
-0.370263,-0.209135,0.571044,-0.433686,-0.117820,0.139369,0.604531,-0.500433,0.382950,-0.480801,-0.362259,0.523474,-0.401629,0.342973,-0.594500,0.085491,0.376387,0.506009,-0.370594,0.004486,-0.190192,-0.166875,-0.493081,0.438605,-0.020319,0.539571,-0.273333,-0.349321,0.265953,-0.215032,0.400041,-0.076728,0.361296,-0.205067,-0.517612,0.410746,-0.378627,0.292821,-0.535580,-0.403918,-0.013644,0.575800,0.171434,0.297953,-0.249376,0.157583,0.035366,0.446089,-0.463781,-0.360078,0.289050,-0.192028,0.513409,0.383450,-0.042961,0.344310,-0.189062,-0.331015,-0.327455,-0.571869,0.143163,0.299267,0.204053,-0.142164,-0.050236,-0.380851,-0.141909,0.479663,-0.209169,0.177811,-0.127633,-0.062897,-0.040501,0.491583,0.283208,-0.207474,0.294949,0.154904,-0.365067,0.459897,-0.096078,0.570053,0.139698,0.304814,0.590610,0.045767,-0.143953,0.559262,0.069194,-0.478813,-0.052738,0.348164,0.513109,0.137519,0.348772,-0.300314,-0.207672,-0.122215,0.439140,0.192782
-0.325700,-0.181163,0.540135,-0.389719,-0.126209,0.132339,0.561970,-0.456563,0.350945,-0.449982,-0.314345,0.508123,-0.372396,0.334392,-0.561850,0.059293,0.354641,0.484562,-0.335788,-0.001332,-0.174839,-0.145154,-0.448616,0.394197,-0.010915,0.511956,-0.246687,-0.308676,0.253433,-0.215936,0.359376,-0.059133,0.318615,-0.184745,-0.485646,0.373765,-0.336706,0.303954,-0.491668,-0.360765,-0.019612,0.559395,0.164605,0.280638,-0.243788,0.152418,0.034953,0.412794,-0.442523,-0.341003,0.266529,-0.176759,0.486723,0.373735,-0.031198,0.308341,-0.157080,-0.291680,-0.297031,-0.536713,0.131553,0.297450,0.199066,-0.122211,-0.042566,-0.344522,-0.106976,0.452794,-0.194679,0.175594,-0.102123,-0.036029,-0.032844,0.473682,0.259974,-0.185015,0.266638,0.154035,-0.338766,0.435371,-0.090595,0.530330,0.122558,0.287860,0.557623,0.046005,-0.127950,0.523627,0.068578,-0.433161,-0.051813,0.315612,0.484416,0.132421,0.324302,-0.247985,-0.187829,-0.098025,0.405937,0.182034
-0.284551,-0.155478,0.512654,-0.353049,-0.132785,0.125479,0.523962,-0.413557,0.322264,-0.420548,-0.271853,0.496625,-0.345297,0.326430,-0.531802,0.035921,0.332724,0.462313,-0.304435,-0.004571,-0.159189,-0.125282,-0.407107,0.354082,-0.004217,0.487760,-0.224154,-0.271131,0.243777,-0.218067,0.319983,-0.040288,0.282982,-0.166159,-0.454336,0.341543,-0.299977,0.312341,-0.451287,-0.321351,-0.023731,0.544763,0.160216,0.264572,-0.238105,0.147542,0.034338,0.383050,-0.418779,-0.323584,0.246117,-0.161643,0.462212,0.364068,-0.023622,0.277893,-0.128941,-0.256807,-0.269058,-0.504888,0.119498,0.294945,0.196767,-0.102530,-0.035889,-0.312053,-0.071790,0.430295,-0.182618,0.174742,-0.076235,-0.012535,-0.021472,0.456871,0.236876,-0.162216,0.238639,0.151791,-0.313809,0.409114,-0.088247,0.491722,0.106879,0.272362,0.528168,0.045924,-0.114461,0.491551,0.067218,-0.390612,-0.052165,0.285669,0.459124,0.128893,0.303978,-0.201361,-0.167204,-0.074139,0.374410,0.170681
